month,attrition_rate,predicted_rate
2024-11-30,3.1,3.1872700594236814
2024-12-31,3.3,3.675357153204958
2025-01-31,3.0,3.2659969709057024
2025-02-28,3.5,3.699329242098518
2025-03-31,3.8,3.778009320221218
2025-04-30,4.1,4.077997260168101
2025-05-31,3.9,3.8290418060840996
2025-06-30,4.3,4.6330880728874675
2025-07-31,4.0,4.200557505871604
2025-08-31,3.7,3.954036288898023
2025-09-30,3.9,3.8102922471479013
2025-10-31,4.2,4.584954926080997
2025-11-30,4.4,4.716221320400211
2025-12-31,4.1,4.106169555339138
2026-01-31,4.5,4.49091248360355
2026-02-28,4.3,4.291702254926717
2026-03-31,4.7,4.752121121479769
2026-04-30,5.0,5.162378215816119
